planSequence	executionPhase	qualification	examYear	sourceCategory	questionLabel	questionType	questionIntent	choiceCount	correctChoiceTextCount	explanationTextCount	sourceOrigin	isSiteSourced	firestoreQuestionIdCount	sourceQuestionKey	sourceConflictStatus	sourceContentConflictCount	sourceContentConflictFields	sourceUniqueKeys	reviewQuestionId	qualifiedReviewQuestionId	sourceFile
192	phase_1_kou_existing_firestore	gas-shunin-kou	2022	消費機器	問22	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:shohi:q22	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:shohi:q22:s01"", ""gas-shunin:kou:2022:shohi:q22:s02"", ""gas-shunin:kou:2022:shohi:q22:s03"", ""gas-shunin:kou:2022:shohi:q22:s04"", ""gas-shunin:kou:2022:shohi:q22:s05""]"	firestore:chiefgasengineerlicense-A-60-1225,chiefgasengineerlicense-A-60-1226,chiefgasengineerlicense-A-60-1227,chiefgasengineerlicense-A-60-1228,chiefgasengineerlicense-A-60-1229	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1225,chiefgasengineerlicense-A-60-1226,chiefgasengineerlicense-A-60-1227,chiefgasengineerlicense-A-60-1228,chiefgasengineerlicense-A-60-1229	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
193	phase_1_kou_existing_firestore	gas-shunin-kou	2022	消費機器	問23	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:shohi:q23	none	0	[]	"[""gas-shunin:kou:2022:shohi:q23:s01"", ""gas-shunin:kou:2022:shohi:q23:s02"", ""gas-shunin:kou:2022:shohi:q23:s03"", ""gas-shunin:kou:2022:shohi:q23:s04"", ""gas-shunin:kou:2022:shohi:q23:s05""]"	firestore:chiefgasengineerlicense-A-60-1230,chiefgasengineerlicense-A-60-1231,chiefgasengineerlicense-A-60-1232,chiefgasengineerlicense-A-60-1233,chiefgasengineerlicense-A-60-1234	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1230,chiefgasengineerlicense-A-60-1231,chiefgasengineerlicense-A-60-1232,chiefgasengineerlicense-A-60-1233,chiefgasengineerlicense-A-60-1234	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
194	phase_1_kou_existing_firestore	gas-shunin-kou	2022	消費機器	問24	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:shohi:q24	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:shohi:q24:s01"", ""gas-shunin:kou:2022:shohi:q24:s02"", ""gas-shunin:kou:2022:shohi:q24:s03"", ""gas-shunin:kou:2022:shohi:q24:s04"", ""gas-shunin:kou:2022:shohi:q24:s05""]"	firestore:chiefgasengineerlicense-A-60-1235,chiefgasengineerlicense-A-60-1236,chiefgasengineerlicense-A-60-1237,chiefgasengineerlicense-A-60-1238,chiefgasengineerlicense-A-60-1239	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1235,chiefgasengineerlicense-A-60-1236,chiefgasengineerlicense-A-60-1237,chiefgasengineerlicense-A-60-1238,chiefgasengineerlicense-A-60-1239	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
195	phase_1_kou_existing_firestore	gas-shunin-kou	2022	消費機器	問25	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:shohi:q25	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:shohi:q25:s01"", ""gas-shunin:kou:2022:shohi:q25:s02"", ""gas-shunin:kou:2022:shohi:q25:s03"", ""gas-shunin:kou:2022:shohi:q25:s04"", ""gas-shunin:kou:2022:shohi:q25:s05""]"	firestore:chiefgasengineerlicense-A-60-1240,chiefgasengineerlicense-A-60-1241,chiefgasengineerlicense-A-60-1242,chiefgasengineerlicense-A-60-1243,chiefgasengineerlicense-A-60-1244	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1240,chiefgasengineerlicense-A-60-1241,chiefgasengineerlicense-A-60-1242,chiefgasengineerlicense-A-60-1243,chiefgasengineerlicense-A-60-1244	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
196	phase_1_kou_existing_firestore	gas-shunin-kou	2022	消費機器	問26	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:shohi:q26	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:shohi:q26:s01"", ""gas-shunin:kou:2022:shohi:q26:s02"", ""gas-shunin:kou:2022:shohi:q26:s03"", ""gas-shunin:kou:2022:shohi:q26:s04"", ""gas-shunin:kou:2022:shohi:q26:s05""]"	firestore:chiefgasengineerlicense-A-60-1245,chiefgasengineerlicense-A-60-1246,chiefgasengineerlicense-A-60-1247,chiefgasengineerlicense-A-60-1248,chiefgasengineerlicense-A-60-1249	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1245,chiefgasengineerlicense-A-60-1246,chiefgasengineerlicense-A-60-1247,chiefgasengineerlicense-A-60-1248,chiefgasengineerlicense-A-60-1249	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
197	phase_1_kou_existing_firestore	gas-shunin-kou	2022	消費機器	問27	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:shohi:q27	needs_source_review	1	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:shohi:q27:s01"", ""gas-shunin:kou:2022:shohi:q27:s02"", ""gas-shunin:kou:2022:shohi:q27:s03"", ""gas-shunin:kou:2022:shohi:q27:s04"", ""gas-shunin:kou:2022:shohi:q27:s05""]"	firestore:chiefgasengineerlicense-A-60-1250,chiefgasengineerlicense-A-60-1251,chiefgasengineerlicense-A-60-1252,chiefgasengineerlicense-A-60-1253,chiefgasengineerlicense-A-60-1254	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1250,chiefgasengineerlicense-A-60-1251,chiefgasengineerlicense-A-60-1252,chiefgasengineerlicense-A-60-1253,chiefgasengineerlicense-A-60-1254	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
198	phase_1_kou_existing_firestore	gas-shunin-kou	2022	製造	問3	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:seizo:q03	needs_source_review	7	"[""choiceText->choiceText"", ""originalQuestionBodyText->questionBodyText""]"	"[""gas-shunin:kou:2022:seizo:q03:s01"", ""gas-shunin:kou:2022:seizo:q03:s02"", ""gas-shunin:kou:2022:seizo:q03:s03"", ""gas-shunin:kou:2022:seizo:q03:s04"", ""gas-shunin:kou:2022:seizo:q03:s05""]"	firestore:chiefgasengineerlicense-A-40-1138,chiefgasengineerlicense-A-40-1139,chiefgasengineerlicense-A-40-1140,chiefgasengineerlicense-A-40-1141,chiefgasengineerlicense-A-40-1142	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1138,chiefgasengineerlicense-A-40-1139,chiefgasengineerlicense-A-40-1140,chiefgasengineerlicense-A-40-1141,chiefgasengineerlicense-A-40-1142	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
199	phase_1_kou_existing_firestore	gas-shunin-kou	2022	製造	問4	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:seizo:q04	needs_source_review	1	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:seizo:q04:s01"", ""gas-shunin:kou:2022:seizo:q04:s02"", ""gas-shunin:kou:2022:seizo:q04:s03"", ""gas-shunin:kou:2022:seizo:q04:s04"", ""gas-shunin:kou:2022:seizo:q04:s05""]"	firestore:chiefgasengineerlicense-A-40-1143,chiefgasengineerlicense-A-40-1144,chiefgasengineerlicense-A-40-1145,chiefgasengineerlicense-A-40-1146,chiefgasengineerlicense-A-40-1147	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1143,chiefgasengineerlicense-A-40-1144,chiefgasengineerlicense-A-40-1145,chiefgasengineerlicense-A-40-1146,chiefgasengineerlicense-A-40-1147	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
200	phase_1_kou_existing_firestore	gas-shunin-kou	2022	製造	問5	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:seizo:q05	none	0	[]	"[""gas-shunin:kou:2022:seizo:q05:s01"", ""gas-shunin:kou:2022:seizo:q05:s02"", ""gas-shunin:kou:2022:seizo:q05:s03"", ""gas-shunin:kou:2022:seizo:q05:s04"", ""gas-shunin:kou:2022:seizo:q05:s05""]"	firestore:chiefgasengineerlicense-A-40-1148,chiefgasengineerlicense-A-40-1149,chiefgasengineerlicense-A-40-1150,chiefgasengineerlicense-A-40-1151,chiefgasengineerlicense-A-40-1152	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1148,chiefgasengineerlicense-A-40-1149,chiefgasengineerlicense-A-40-1150,chiefgasengineerlicense-A-40-1151,chiefgasengineerlicense-A-40-1152	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
201	phase_1_kou_existing_firestore	gas-shunin-kou	2022	製造	問6	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:seizo:q06	needs_source_review	1	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:seizo:q06:s01"", ""gas-shunin:kou:2022:seizo:q06:s02"", ""gas-shunin:kou:2022:seizo:q06:s03"", ""gas-shunin:kou:2022:seizo:q06:s04"", ""gas-shunin:kou:2022:seizo:q06:s05""]"	firestore:chiefgasengineerlicense-A-40-1153,chiefgasengineerlicense-A-40-1154,chiefgasengineerlicense-A-40-1155,chiefgasengineerlicense-A-40-1156,chiefgasengineerlicense-A-40-1157	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1153,chiefgasengineerlicense-A-40-1154,chiefgasengineerlicense-A-40-1155,chiefgasengineerlicense-A-40-1156,chiefgasengineerlicense-A-40-1157	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
202	phase_1_kou_existing_firestore	gas-shunin-kou	2022	製造	問7	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:seizo:q07	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:seizo:q07:s01"", ""gas-shunin:kou:2022:seizo:q07:s02"", ""gas-shunin:kou:2022:seizo:q07:s03"", ""gas-shunin:kou:2022:seizo:q07:s04"", ""gas-shunin:kou:2022:seizo:q07:s05""]"	firestore:chiefgasengineerlicense-A-40-1158,chiefgasengineerlicense-A-40-1159,chiefgasengineerlicense-A-40-1160,chiefgasengineerlicense-A-40-1161,chiefgasengineerlicense-A-40-1162	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1158,chiefgasengineerlicense-A-40-1159,chiefgasengineerlicense-A-40-1160,chiefgasengineerlicense-A-40-1161,chiefgasengineerlicense-A-40-1162	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_1.json
203	phase_1_kou_existing_firestore	gas-shunin-kou	2022	製造	問8	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:seizo:q08	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:seizo:q08:s01"", ""gas-shunin:kou:2022:seizo:q08:s02"", ""gas-shunin:kou:2022:seizo:q08:s03"", ""gas-shunin:kou:2022:seizo:q08:s04"", ""gas-shunin:kou:2022:seizo:q08:s05""]"	firestore:chiefgasengineerlicense-A-40-1163,chiefgasengineerlicense-A-40-1164,chiefgasengineerlicense-A-40-1165,chiefgasengineerlicense-A-40-1166,chiefgasengineerlicense-A-40-1167	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1163,chiefgasengineerlicense-A-40-1164,chiefgasengineerlicense-A-40-1165,chiefgasengineerlicense-A-40-1166,chiefgasengineerlicense-A-40-1167	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
204	phase_1_kou_existing_firestore	gas-shunin-kou	2022	製造	問9	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:seizo:q09	none	0	[]	"[""gas-shunin:kou:2022:seizo:q09:s01"", ""gas-shunin:kou:2022:seizo:q09:s02"", ""gas-shunin:kou:2022:seizo:q09:s03"", ""gas-shunin:kou:2022:seizo:q09:s04"", ""gas-shunin:kou:2022:seizo:q09:s05""]"	firestore:chiefgasengineerlicense-A-40-1168,chiefgasengineerlicense-A-40-1169,chiefgasengineerlicense-A-40-1170,chiefgasengineerlicense-A-40-1171,chiefgasengineerlicense-A-40-1172	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1168,chiefgasengineerlicense-A-40-1169,chiefgasengineerlicense-A-40-1170,chiefgasengineerlicense-A-40-1171,chiefgasengineerlicense-A-40-1172	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
205	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問1	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q01	needs_source_review	11	"[""choiceText->choiceText"", ""correctChoiceText->correctChoiceText"", ""originalQuestionBodyText->questionBodyText""]"	"[""gas-shunin:kou:2022:law:q01:s01"", ""gas-shunin:kou:2022:law:q01:s02"", ""gas-shunin:kou:2022:law:q01:s03"", ""gas-shunin:kou:2022:law:q01:s04"", ""gas-shunin:kou:2022:law:q01:s05""]"	firestore:chiefgasengineerlicense-A-10-0321,chiefgasengineerlicense-A-10-0322,chiefgasengineerlicense-A-10-0323,chiefgasengineerlicense-A-10-0324,chiefgasengineerlicense-A-10-0325	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0321,chiefgasengineerlicense-A-10-0322,chiefgasengineerlicense-A-10-0323,chiefgasengineerlicense-A-10-0324,chiefgasengineerlicense-A-10-0325	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
206	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問10	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q10	none	0	[]	"[""gas-shunin:kou:2022:law:q10:s01"", ""gas-shunin:kou:2022:law:q10:s02"", ""gas-shunin:kou:2022:law:q10:s03"", ""gas-shunin:kou:2022:law:q10:s04"", ""gas-shunin:kou:2022:law:q10:s05""]"	firestore:chiefgasengineerlicense-A-10-0286,chiefgasengineerlicense-A-10-0287,chiefgasengineerlicense-A-10-0288,chiefgasengineerlicense-A-10-0289,chiefgasengineerlicense-A-10-0290	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0286,chiefgasengineerlicense-A-10-0287,chiefgasengineerlicense-A-10-0288,chiefgasengineerlicense-A-10-0289,chiefgasengineerlicense-A-10-0290	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
207	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問11	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q11	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q11:s01"", ""gas-shunin:kou:2022:law:q11:s02"", ""gas-shunin:kou:2022:law:q11:s03"", ""gas-shunin:kou:2022:law:q11:s04"", ""gas-shunin:kou:2022:law:q11:s05""]"	firestore:chiefgasengineerlicense-A-10-0291,chiefgasengineerlicense-A-10-0292,chiefgasengineerlicense-A-10-0293,chiefgasengineerlicense-A-10-0294,chiefgasengineerlicense-A-10-0295	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0291,chiefgasengineerlicense-A-10-0292,chiefgasengineerlicense-A-10-0293,chiefgasengineerlicense-A-10-0294,chiefgasengineerlicense-A-10-0295	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
208	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問12	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q12	none	0	[]	"[""gas-shunin:kou:2022:law:q12:s01"", ""gas-shunin:kou:2022:law:q12:s02"", ""gas-shunin:kou:2022:law:q12:s03"", ""gas-shunin:kou:2022:law:q12:s04"", ""gas-shunin:kou:2022:law:q12:s05""]"	firestore:chiefgasengineerlicense-A-10-0296,chiefgasengineerlicense-A-10-0297,chiefgasengineerlicense-A-10-0298,chiefgasengineerlicense-A-10-0299,chiefgasengineerlicense-A-10-0300	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0296,chiefgasengineerlicense-A-10-0297,chiefgasengineerlicense-A-10-0298,chiefgasengineerlicense-A-10-0299,chiefgasengineerlicense-A-10-0300	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
209	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問13	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q13	needs_source_review	1	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q13:s01"", ""gas-shunin:kou:2022:law:q13:s02"", ""gas-shunin:kou:2022:law:q13:s03"", ""gas-shunin:kou:2022:law:q13:s04"", ""gas-shunin:kou:2022:law:q13:s05""]"	firestore:chiefgasengineerlicense-A-10-0301,chiefgasengineerlicense-A-10-0302,chiefgasengineerlicense-A-10-0303,chiefgasengineerlicense-A-10-0304,chiefgasengineerlicense-A-10-0305	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0301,chiefgasengineerlicense-A-10-0302,chiefgasengineerlicense-A-10-0303,chiefgasengineerlicense-A-10-0304,chiefgasengineerlicense-A-10-0305	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
210	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問14	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q14	none	0	[]	"[""gas-shunin:kou:2022:law:q14:s01"", ""gas-shunin:kou:2022:law:q14:s02"", ""gas-shunin:kou:2022:law:q14:s03"", ""gas-shunin:kou:2022:law:q14:s04"", ""gas-shunin:kou:2022:law:q14:s05""]"	firestore:chiefgasengineerlicense-A-10-0306,chiefgasengineerlicense-A-10-0307,chiefgasengineerlicense-A-10-0308,chiefgasengineerlicense-A-10-0309,chiefgasengineerlicense-A-10-0310	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0306,chiefgasengineerlicense-A-10-0307,chiefgasengineerlicense-A-10-0308,chiefgasengineerlicense-A-10-0309,chiefgasengineerlicense-A-10-0310	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
211	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問15	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q15	none	0	[]	"[""gas-shunin:kou:2022:law:q15:s01"", ""gas-shunin:kou:2022:law:q15:s02"", ""gas-shunin:kou:2022:law:q15:s03"", ""gas-shunin:kou:2022:law:q15:s04"", ""gas-shunin:kou:2022:law:q15:s05""]"	firestore:chiefgasengineerlicense-A-10-0311,chiefgasengineerlicense-A-10-0312,chiefgasengineerlicense-A-10-0313,chiefgasengineerlicense-A-10-0314,chiefgasengineerlicense-A-10-0315	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0311,chiefgasengineerlicense-A-10-0312,chiefgasengineerlicense-A-10-0313,chiefgasengineerlicense-A-10-0314,chiefgasengineerlicense-A-10-0315	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
212	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問16	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q16	needs_source_review	3	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q16:s01"", ""gas-shunin:kou:2022:law:q16:s02"", ""gas-shunin:kou:2022:law:q16:s03"", ""gas-shunin:kou:2022:law:q16:s04"", ""gas-shunin:kou:2022:law:q16:s05""]"	firestore:chiefgasengineerlicense-A-10-0316,chiefgasengineerlicense-A-10-0317,chiefgasengineerlicense-A-10-0318,chiefgasengineerlicense-A-10-0319,chiefgasengineerlicense-A-10-0320	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0316,chiefgasengineerlicense-A-10-0317,chiefgasengineerlicense-A-10-0318,chiefgasengineerlicense-A-10-0319,chiefgasengineerlicense-A-10-0320	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
213	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問2	true_false	select_correct	4	4	4	firestore_snapshot	False	4	gas-shunin:kou:2022:law:q02	needs_source_review	3	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q02:s01:legacy:chiefgasengineerlicense-A-10-0247"", ""gas-shunin:kou:2022:law:q02:s02:legacy:chiefgasengineerlicense-A-10-0247"", ""gas-shunin:kou:2022:law:q02:s03:legacy:chiefgasengineerlicense-A-10-0247"", ""gas-shunin:kou:2022:law:q02:s04:legacy:chiefgasengineerlicense-A-10-0247""]"	firestore:chiefgasengineerlicense-A-10-0247,chiefgasengineerlicense-A-10-0248,chiefgasengineerlicense-A-10-0249,chiefgasengineerlicense-A-10-0250	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0247,chiefgasengineerlicense-A-10-0248,chiefgasengineerlicense-A-10-0249,chiefgasengineerlicense-A-10-0250	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
214	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問2	true_false	select_correct	1	1	1	firestore_snapshot	False	1	gas-shunin:kou:2022:law:q02	needs_source_review	3	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q02:s01:legacy:chiefgasengineerlicense-A-10-0326""]"	firestore:chiefgasengineerlicense-A-10-0326	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0326	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
215	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問3	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q03	none	0	[]	"[""gas-shunin:kou:2022:law:q03:s01"", ""gas-shunin:kou:2022:law:q03:s02"", ""gas-shunin:kou:2022:law:q03:s03"", ""gas-shunin:kou:2022:law:q03:s04"", ""gas-shunin:kou:2022:law:q03:s05""]"	firestore:chiefgasengineerlicense-A-10-0251,chiefgasengineerlicense-A-10-0252,chiefgasengineerlicense-A-10-0253,chiefgasengineerlicense-A-10-0254,chiefgasengineerlicense-A-10-0255	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0251,chiefgasengineerlicense-A-10-0252,chiefgasengineerlicense-A-10-0253,chiefgasengineerlicense-A-10-0254,chiefgasengineerlicense-A-10-0255	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
216	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問4	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q04	none	0	[]	"[""gas-shunin:kou:2022:law:q04:s01"", ""gas-shunin:kou:2022:law:q04:s02"", ""gas-shunin:kou:2022:law:q04:s03"", ""gas-shunin:kou:2022:law:q04:s04"", ""gas-shunin:kou:2022:law:q04:s05""]"	firestore:chiefgasengineerlicense-A-10-0256,chiefgasengineerlicense-A-10-0257,chiefgasengineerlicense-A-10-0258,chiefgasengineerlicense-A-10-0259,chiefgasengineerlicense-A-10-0260	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0256,chiefgasengineerlicense-A-10-0257,chiefgasengineerlicense-A-10-0258,chiefgasengineerlicense-A-10-0259,chiefgasengineerlicense-A-10-0260	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
217	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問5	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q05	none	0	[]	"[""gas-shunin:kou:2022:law:q05:s01"", ""gas-shunin:kou:2022:law:q05:s02"", ""gas-shunin:kou:2022:law:q05:s03"", ""gas-shunin:kou:2022:law:q05:s04"", ""gas-shunin:kou:2022:law:q05:s05""]"	firestore:chiefgasengineerlicense-A-10-0261,chiefgasengineerlicense-A-10-0262,chiefgasengineerlicense-A-10-0263,chiefgasengineerlicense-A-10-0264,chiefgasengineerlicense-A-10-0265	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0261,chiefgasengineerlicense-A-10-0262,chiefgasengineerlicense-A-10-0263,chiefgasengineerlicense-A-10-0264,chiefgasengineerlicense-A-10-0265	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
218	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問6	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q06	needs_source_review	1	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q06:s01"", ""gas-shunin:kou:2022:law:q06:s02"", ""gas-shunin:kou:2022:law:q06:s03"", ""gas-shunin:kou:2022:law:q06:s04"", ""gas-shunin:kou:2022:law:q06:s05""]"	firestore:chiefgasengineerlicense-A-10-0266,chiefgasengineerlicense-A-10-0267,chiefgasengineerlicense-A-10-0268,chiefgasengineerlicense-A-10-0269,chiefgasengineerlicense-A-10-0270	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0266,chiefgasengineerlicense-A-10-0267,chiefgasengineerlicense-A-10-0268,chiefgasengineerlicense-A-10-0269,chiefgasengineerlicense-A-10-0270	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
219	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問7	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q07	needs_source_review	1	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q07:s01"", ""gas-shunin:kou:2022:law:q07:s02"", ""gas-shunin:kou:2022:law:q07:s03"", ""gas-shunin:kou:2022:law:q07:s04"", ""gas-shunin:kou:2022:law:q07:s05""]"	firestore:chiefgasengineerlicense-A-10-0271,chiefgasengineerlicense-A-10-0272,chiefgasengineerlicense-A-10-0273,chiefgasengineerlicense-A-10-0274,chiefgasengineerlicense-A-10-0275	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0271,chiefgasengineerlicense-A-10-0272,chiefgasengineerlicense-A-10-0273,chiefgasengineerlicense-A-10-0274,chiefgasengineerlicense-A-10-0275	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
220	phase_1_kou_existing_firestore	gas-shunin-kou	2022	法令	問8	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2022:law:q08	needs_source_review	2	"[""choiceText->choiceText""]"	"[""gas-shunin:kou:2022:law:q08:s01"", ""gas-shunin:kou:2022:law:q08:s02"", ""gas-shunin:kou:2022:law:q08:s03"", ""gas-shunin:kou:2022:law:q08:s04"", ""gas-shunin:kou:2022:law:q08:s05""]"	firestore:chiefgasengineerlicense-A-10-0276,chiefgasengineerlicense-A-10-0277,chiefgasengineerlicense-A-10-0278,chiefgasengineerlicense-A-10-0279,chiefgasengineerlicense-A-10-0280	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0276,chiefgasengineerlicense-A-10-0277,chiefgasengineerlicense-A-10-0278,chiefgasengineerlicense-A-10-0279,chiefgasengineerlicense-A-10-0280	output/gas-shunin-kou/questions_json/2022/00_source/question_2022_firestore_2.json
